Variety;Treatment;Id;Plant;Leaf;Date;Time;Fm.;PAR;Temp;Y..II.;ETR;SPAD;alpha;ETRm;Ik
V3;S-AF;8;D_V3_8;9;07/10/2020;09:59:22;1377;294;29.4;0.442;54.6;42.1;0.263;68.87;261.458
V3;S-AF;8;D_V3_8;9;07/10/2020;09:59:42;1331;434;29.6;0.343;62.5;42.1;0.263;68.87;261.458
V3;S-AF;8;D_V3_8;9;07/10/2020;09:58:42;1517;129;29.4;0.603;32.7;42.1;0.263;68.87;261.458
V3;S-AF;8;D_V3_8;9;07/10/2020;10:00:43;1207;1186;30.2;0.147;73.2;42.1;0.263;68.87;261.458
V3;S-AF;8;D_V3_8;9;07/10/2020;10:00:22;1261;847;29.9;0.194;69;42.1;0.263;68.87;261.458
V3;S-AF;8;D_V3_8;9;07/10/2020;10:00:02;1282;649;29.6;0.246;67.1;42.1;0.263;68.87;261.458
V3;S-AF;8;D_V3_8;9;07/10/2020;09:59:02;1440;196;29.4;0.541;44.5;42.1;0.263;68.87;261.458
V3;S-AF;8;D_V3_8;9;07/10/2020;10:01:03;1149;1547;30.6;0.102;66.3;42.1;0.263;68.87;261.458
V3;S-AF;9;D_V3_9;9;08/10/2020;09:35:23;1077;1188;32.2;0.11;54.9;42.7;0.241;53.568;222.317
V3;S-AF;9;D_V3_9;9;08/10/2020;09:35:03;1133;849;31.6;0.153;54.6;42.7;0.241;53.568;222.317
V3;S-AF;9;D_V3_9;9;08/10/2020;09:33:23;1447;129;30.4;0.536;29;42.7;0.241;53.568;222.317
V3;S-AF;9;D_V3_9;9;08/10/2020;09:34:43;1198;650;31.1;0.193;52.7;42.7;0.241;53.568;222.317
V3;S-AF;9;D_V3_9;9;08/10/2020;09:33:03;1561;0;30.9;0.727;0;42.7;0.241;53.568;222.317
V3;S-AF;9;D_V3_9;9;08/10/2020;09:35:43;1024;1549;32.7;0.081;52.7;42.7;0.241;53.568;222.317
V3;S-AF;9;D_V3_9;9;08/10/2020;09:33:43;1372;196;30.2;0.461;37.9;42.7;0.241;53.568;222.317
V3;S-AF;9;D_V3_9;9;08/10/2020;09:34:23;1263;434;30.7;0.278;50.7;42.7;0.241;53.568;222.317
V3;S-AF;9;D_V3_9;9;08/10/2020;09:34:03;1313;295;30.4;0.368;45.6;42.7;0.241;53.568;222.317
V3;S;2;L_V3_2;9;06/10/2020;11:30:04;1119;1554;32.7;0.071;46.3;39.9;0.251;47.029;187.259
V3;S;2;L_V3_2;9;06/10/2020;11:28:04;1517;197;31.1;0.44;36.4;39.9;0.251;47.029;187.259
V3;S;2;L_V3_2;9;06/10/2020;11:29:04;1291;652;31.6;0.17;46.6;39.9;0.251;47.029;187.259
V3;S;2;L_V3_2;9;06/10/2020;11:29:24;1233;851;31.9;0.135;48.3;39.9;0.251;47.029;187.259
V3;S;2;L_V3_2;9;06/10/2020;11:29:44;1173;1191;32.2;0.095;47.5;39.9;0.251;47.029;187.259
V3;S;2;L_V3_2;9;06/10/2020;11:28:44;1359;436;31.4;0.251;46;39.9;0.251;47.029;187.259
V3;S;2;L_V3_2;9;06/10/2020;11:28:24;1435;296;31.1;0.341;42.4;39.9;0.251;47.029;187.259
V3;S;2;L_V3_2;9;06/10/2020;11:27:44;1607;130;31.1;0.533;29.1;39.9;0.251;47.029;187.259
V3;S;2;L_V3_2;9;06/10/2020;11:27:24;1655;1;31.4;0.712;0.3;39.9;0.251;47.029;187.259
V3;S;3;L_V3_3;9;07/10/2020;11:04:34;1214;851;31.1;0.222;79.3;42.8;0.255;80.955;317.147
V3;S;3;L_V3_3;9;07/10/2020;11:03:34;1345;295;30.9;0.468;58;42.8;0.255;80.955;317.147
V3;S;3;L_V3_3;9;07/10/2020;11:05:14;1102;1552;31.9;0.128;83.4;42.8;0.255;80.955;317.147
V3;S;3;L_V3_3;9;07/10/2020;11:02:54;1398;129;30.9;0.615;33.3;42.8;0.255;80.955;317.147
V3;S;3;L_V3_3;9;07/10/2020;11:03:14;1382;197;30.8;0.561;46.4;42.8;0.255;80.955;317.147
V3;S;3;L_V3_3;9;07/10/2020;11:04:14;1263;651;30.9;0.272;74.4;42.8;0.255;80.955;317.147
V3;S;3;L_V3_3;9;07/10/2020;11:04:54;1156;1189;31.6;0.167;83.4;42.8;0.255;80.955;317.147
V3;S;3;L_V3_3;9;07/10/2020;11:03:54;1300;435;31.1;0.382;69.8;42.8;0.255;80.955;317.147
V3;S;3;L_V3_3;9;07/10/2020;11:02:34;1373;0;31.4;0.696;0;42.8;0.255;80.955;317.147
V3;S;4;L_V3_4;9;08/10/2020;11:17:07;1245;1190;31.3;0.11;55;38.5;0.264;52.875;200.613
V3;S;4;L_V3_4;9;08/10/2020;11:15:27;1492;197;30.3;0.483;40;38.5;0.264;52.875;200.613
V3;S;4;L_V3_4;9;08/10/2020;11:16:47;1305;852;30.8;0.148;53;38.5;0.264;52.875;200.613
V3;S;4;L_V3_4;9;08/10/2020;11:15:47;1445;295;30.4;0.376;46.6;38.5;0.264;52.875;200.613
V3;S;4;L_V3_4;9;08/10/2020;11:16:27;1352;652;30.6;0.184;50.4;38.5;0.264;52.875;200.613
V3;S;4;L_V3_4;9;08/10/2020;11:14:47;1597;0;30.6;0.708;0;38.5;0.264;52.875;200.613
V3;S;4;L_V3_4;9;08/10/2020;11:17:27;1197;1553;31.5;0.083;54.1;38.5;0.264;52.875;200.613
V3;S;4;L_V3_4;9;08/10/2020;11:15:07;1553;129;30.4;0.569;30.8;38.5;0.264;52.875;200.613
V3;S;4;L_V3_4;9;08/10/2020;11:16:07;1399;435;30.6;0.277;50.6;38.5;0.264;52.875;200.613
V3;S;7;L_V3_7;9;06/10/2020;11:31:27;1422;1;31.4;0.709;0.3;43.8;0.237;47.642;200.662
V3;S;7;L_V3_7;9;06/10/2020;11:31:47;1402;130;31.6;0.519;28.3;43.8;0.237;47.642;200.662
V3;S;7;L_V3_7;9;06/10/2020;11:32:07;1336;197;31.6;0.43;35.6;43.8;0.237;47.642;200.662
V3;S;7;L_V3_7;9;06/10/2020;11:32:27;1266;296;31.7;0.337;41.9;43.8;0.237;47.642;200.662
V3;S;7;L_V3_7;9;06/10/2020;11:34:07;966;1553;33.2;0.073;47.6;43.8;0.237;47.642;200.662
V3;S;7;L_V3_7;9;06/10/2020;11:32:47;1194;436;31.9;0.25;45.8;43.8;0.237;47.642;200.662
V3;S;7;L_V3_7;9;06/10/2020;11:33:07;1132;652;32.2;0.17;46.6;43.8;0.237;47.642;200.662
V3;S;7;L_V3_7;9;06/10/2020;11:33:47;1016;1191;32.8;0.098;49;43.8;0.237;47.642;200.662
V3;S;7;L_V3_7;9;06/10/2020;11:33:27;1071;852;32.6;0.135;48.3;43.8;0.237;47.642;200.662
V3;S;8;L_V3_8;9;07/10/2020;11:08:04;944;435;33;0.242;44.2;41.7;0.154;56.472;367.122
V3;S;8;L_V3_8;9;07/10/2020;11:07:04;1140;129;33;0.411;22.3;41.7;0.154;56.472;367.122
V3;S;8;L_V3_8;9;07/10/2020;11:08:44;901;851;33.2;0.149;53.3;41.7;0.154;56.472;367.122
V3;S;8;L_V3_8;9;07/10/2020;11:09:24;860;1553;33.5;0.097;63.3;41.7;0.154;56.472;367.122
V3;S;8;L_V3_8;9;07/10/2020;11:08:24;920;652;33.1;0.179;49;41.7;0.154;56.472;367.122
V3;S;8;L_V3_8;9;07/10/2020;11:07:44;980;295;33;0.303;37.5;41.7;0.154;56.472;367.122
V3;S;8;L_V3_8;9;07/10/2020;11:09:04;882;1191;33.3;0.111;55.5;41.7;0.154;56.472;367.122
V3;S;8;L_V3_8;9;07/10/2020;11:07:24;1039;197;32.9;0.365;30.2;41.7;0.154;56.472;367.122
V3;S;8;L_V3_8;9;07/10/2020;11:06:44;1524;0;32.9;0.649;0;41.7;0.154;56.472;367.122
V3;S;9;L_V3_9;9;08/10/2020;11:22:08;1260;1553;31.9;0.089;58.1;45.4;0.219;56.824;258.924
V3;S;9;L_V3_9;9;08/10/2020;11:20:08;1489;197;30.4;0.447;37;45.4;0.219;56.824;258.924
V3;S;9;L_V3_9;9;08/10/2020;11:20:48;1413;436;30.9;0.27;49.4;45.4;0.219;56.824;258.924
V3;S;9;L_V3_9;9;08/10/2020;11:20:28;1449;295;30.6;0.363;45;45.4;0.219;56.824;258.924
V3;S;9;L_V3_9;9;08/10/2020;11:21:28;1355;851;31.4;0.159;56.8;45.4;0.219;56.824;258.924
V3;S;9;L_V3_9;9;08/10/2020;11:19:48;1551;129;30.4;0.538;29.1;45.4;0.219;56.824;258.924
V3;S;9;L_V3_9;9;08/10/2020;11:21:48;1332;1191;31.6;0.12;60;45.4;0.219;56.824;258.924
V3;S;9;L_V3_9;9;08/10/2020;11:19:28;1619;1;30.4;0.713;0.3;45.4;0.219;56.824;258.924
V3;S;9;L_V3_9;9;08/10/2020;11:21:08;1386;652;31.1;0.198;54.2;45.4;0.219;56.824;258.924
V4;C;2;C_V4_2;9;06/10/2020;08:55:08;1199;635;28.5;0.17;45.3;37.1;0.26;41.805;160.978
V4;C;2;C_V4_2;9;06/10/2020;08:55:28;1147;830;28.8;0.121;42.2;37.1;0.26;41.805;160.978
V4;C;2;C_V4_2;9;06/10/2020;08:55:48;1037;1162;29.1;0.085;41.5;37.1;0.26;41.805;160.978
V4;C;2;C_V4_2;9;06/10/2020;08:56:08;952;1514;29.5;0.062;39.4;37.1;0.26;41.805;160.978
V4;C;2;C_V4_2;9;06/10/2020;08:54:48;1291;425;28.1;0.232;41.4;37.1;0.26;41.805;160.978
V4;C;2;C_V4_2;9;06/10/2020;08:53:29;1703;0;28.2;0.674;0;37.1;0.26;41.805;160.978
V4;C;2;C_V4_2;9;06/10/2020;08:53:49;1615;126;27.8;0.518;27.4;37.1;0.26;41.805;160.978
V4;C;2;C_V4_2;9;06/10/2020;08:54:08;1491;191;27.8;0.445;35.7;37.1;0.26;41.805;160.978
V4;C;2;C_V4_2;9;06/10/2020;08:54:28;1415;288;27.9;0.308;37.3;37.1;0.26;41.805;160.978
V4;C;3;C_V4_3;9;07/10/2020;09:09:01;1472;0;30.9;0.646;0;25.8;0.252;49.88;197.699
V4;C;3;C_V4_3;9;07/10/2020;09:11:41;707;1540;32.9;0.076;49.2;25.8;0.252;49.88;197.699
V4;C;3;C_V4_3;9;07/10/2020;09:10:41;827;646;31.7;0.183;49.7;25.8;0.252;49.88;197.699
V4;C;3;C_V4_3;9;07/10/2020;09:11:01;773;844;32.1;0.142;50.3;25.8;0.252;49.88;197.699
V4;C;3;C_V4_3;9;07/10/2020;09:10:01;1024;292;31.1;0.36;44.2;25.8;0.252;49.88;197.699
